 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,153.500,230.500
2,0,255,255,255,143.000,231.000
3,0,255,255,255,127.500,234.000
4,0,255,255,255,113.500,238.500
5,0,0,0,0,101.500,243.000
6,0,255,255,255,92.500,248.000
7,0,255,255,255,79.000,253.500
8,0,0,0,0,64.500,260.000
9,0,0,0,0,75.000,271.000
10,0,0,0,0,84.500,281.000
11,0,48,48,48,92.500,290.000
12,0,16,16,16,103.500,299.500
13,0,159,159,159,116.000,311.000
14,0,239,239,239,126.000,321.000
15,0,191,191,191,135.500,332.500
16,0,223,223,223,142.500,345.500
17,0,0,0,0,154.500,363.000
