 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,269.833,16.167
2,0,16,16,16,265.167,18.500
3,0,72,72,72,256.167,19.833
4,0,174,174,174,245.167,20.167
5,0,210,210,210,237.833,21.833
6,0,255,255,255,227.833,22.833
7,0,193,193,193,220.167,24.500
8,0,255,255,255,210.833,25.833
9,0,134,134,134,202.833,28.167
10,0,255,255,255,195.500,29.833
11,0,216,216,216,188.500,31.500
12,0,188,188,188,181.167,33.167
13,0,255,255,255,176.167,34.833
14,0,115,115,115,171.167,36.833
15,0,21,21,21,166.167,38.500
16,0,85,85,85,167.500,46.167
17,0,244,244,244,168.500,54.833
18,0,244,244,244,170.500,67.167
19,0,91,91,91,173.833,73.833
20,0,0,0,0,181.500,73.167
21,0,0,0,0,191.500,73.500
22,0,95,95,95,203.833,73.833
23,0,48,48,48,211.500,73.500
24,0,159,159,159,220.500,73.500
25,0,255,255,255,230.500,73.833
26,0,112,112,112,238.833,74.167
27,0,159,159,159,248.500,74.167
28,0,255,255,255,259.500,74.167
29,0,255,255,255,269.833,75.167
