 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,165.544,39.250
2,0,76,76,76,156.991,41.766
3,0,188,188,188,146.927,44.785
4,0,0,0,0,138.373,48.307
5,0,0,0,0,130.323,51.829
6,0,107,107,107,122.272,54.345
7,0,236,236,236,114.222,57.867
8,0,0,0,0,108.184,61.892
9,0,0,0,0,99.127,66.421
10,0,126,126,126,90.573,70.949
11,0,37,37,37,84.032,74.975
12,0,92,92,92,77.491,78.497
13,0,212,212,212,69.943,83.025
14,0,0,0,0,75.478,91.579
15,0,0,0,0,80.006,97.617
16,0,255,255,255,86.044,103.152
17,0,207,207,207,95.604,103.655
18,0,255,255,255,103.655,102.146
19,0,255,255,255,114.222,97.114
20,0,255,255,255,123.278,92.082
21,0,127,127,127,132.839,88.560
22,0,239,239,239,141.896,86.044
23,0,48,48,48,149.946,83.025
24,0,255,255,255,156.487,80.006
25,0,255,255,255,162.022,77.491
26,0,255,255,255,166.551,75.981
27,0,91,91,91,173.595,73.968
28,0,170,170,170,172.085,68.434
29,0,255,255,255,171.582,62.396
30,0,85,85,85,170.073,56.861
31,0,142,142,142,168.563,49.313
32,0,85,85,85,167.557,44.785
