 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,172.589,75.478
2,0,0,0,0,161.016,80.006
3,0,48,48,48,149.443,83.528
4,0,0,0,0,137.367,86.044
5,0,191,191,191,128.813,89.566
6,0,191,191,191,119.756,92.585
7,0,255,255,255,112.712,97.617
8,0,223,223,223,104.661,101.139
9,0,48,48,48,93.592,107.680
10,0,0,0,0,85.541,115.731
11,0,223,223,223,77.491,126.297
12,0,255,255,255,73.465,135.858
13,0,255,255,255,69.943,144.411
14,0,175,175,175,68.434,152.965
15,0,255,255,255,65.918,163.028
16,0,143,143,143,65.415,173.092
17,0,255,255,255,63.905,182.149
18,0,255,255,255,63.905,192.212
19,0,0,0,0,65.415,202.275
20,0,239,239,239,65.415,209.823
21,0,169,169,169,66.924,224.918
22,0,16,16,16,84.032,221.396
23,0,159,159,159,101.642,221.899
24,0,255,255,255,119.756,221.899
25,0,0,0,0,128.813,222.402
26,0,191,191,191,141.896,222.905
27,0,0,0,0,154.475,224.918
28,0,80,80,80,171.582,226.427
29,0,80,80,80,183.658,229.446
30,0,255,255,255,201.269,231.962
31,0,48,48,48,213.345,233.472
32,0,96,96,96,222.402,234.981
33,0,255,255,255,232.465,238.000
34,0,85,85,85,233.472,229.949
35,0,85,85,85,232.968,217.873
36,0,255,255,255,231.962,209.320
37,0,85,85,85,231.459,201.269
38,0,255,255,255,230.453,195.231
39,0,85,85,85,229.446,186.174
40,0,85,85,85,228.440,177.117
41,0,202,202,202,226.427,170.073
42,0,107,107,107,224.918,160.513
43,0,255,255,255,223.408,152.965
44,0,96,96,96,222.402,146.424
45,0,255,255,255,219.383,137.870
46,0,85,85,85,218.880,133.845
47,0,85,85,85,214.854,126.297
48,0,85,85,85,208.313,123.782
49,0,85,85,85,198.250,119.756
50,0,255,255,255,189.696,116.234
51,0,85,85,85,185.671,111.203
52,0,88,88,88,182.149,101.642
53,0,149,149,149,179.633,96.108
54,0,85,85,85,176.614,87.554
55,0,85,85,85,175.608,82.019
