 ,Area,Mean,Min,Max,X,Y
1,0,56,56,56,192.212,353.225
2,0,255,255,255,188.690,345.677
3,0,255,255,255,182.149,334.608
4,0,0,0,0,177.117,327.060
5,0,159,159,159,171.582,317.500
6,0,255,255,255,163.028,309.449
7,0,255,255,255,155.481,304.921
8,0,0,0,0,148.437,300.392
9,0,255,255,255,140.386,295.864
10,0,48,48,48,133.342,292.342
11,0,0,0,0,124.788,287.813
12,0,255,255,255,117.241,283.285
13,0,191,191,191,108.184,278.756
14,0,255,255,255,100.636,277.750
15,0,0,0,0,94.095,276.744
16,0,255,255,255,87.051,275.234
17,0,80,80,80,78.497,274.228
18,0,223,223,223,67.427,274.731
19,0,255,255,255,57.867,278.253
20,0,255,255,255,49.313,282.782
21,0,0,0,0,56.861,290.832
22,0,36,36,36,68.434,299.386
23,0,0,0,0,81.516,308.946
24,0,187,187,187,98.120,317.500
25,0,3,3,3,112.209,325.047
26,0,0,0,0,129.316,333.601
27,0,0,0,0,141.896,338.633
28,0,0,0,0,156.487,343.665
29,0,44,44,44,170.576,347.187
30,0,32,32,32,184.665,351.715
