 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,411.364,147.320
2,0,255,255,255,402.901,149.012
3,0,88,88,88,392.746,149.577
4,0,85,85,85,381.462,150.141
5,0,255,255,255,371.306,150.141
6,0,190,190,190,360.586,149.577
7,0,85,85,85,349.302,148.448
8,0,85,85,85,338.583,147.320
9,0,255,255,255,327.863,145.627
10,0,150,150,150,315.451,142.242
11,0,255,255,255,310.937,151.269
12,0,255,255,255,307.552,169.323
13,0,255,255,255,306.988,185.121
14,0,112,112,112,306.423,196.405
15,0,47,47,47,305.859,205.996
16,0,34,34,34,304.167,219.537
17,0,229,229,229,303.038,231.949
18,0,255,255,255,302.474,244.926
19,0,207,207,207,302.474,255.081
20,0,207,207,207,317.143,257.902
21,0,0,0,0,335.762,261.288
22,0,255,255,255,358.330,264.673
23,0,232,232,232,370.178,266.930
24,0,191,191,191,383.719,268.622
25,0,112,112,112,397.823,271.443
26,0,0,0,0,411.928,275.957
