 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,411.364,275.957
2,0,5,5,5,304.731,254.517
3,0,255,255,255,301.346,264.109
4,0,255,255,255,294.011,276.521
5,0,0,0,0,292.319,287.805
6,0,112,112,112,287.241,295.139
7,0,16,16,16,283.856,301.346
8,0,255,255,255,280.470,306.423
9,0,207,207,207,271.443,310.937
10,0,48,48,48,263.544,316.579
11,0,191,191,191,252.825,324.478
12,0,255,255,255,245.490,333.505
13,0,255,255,255,237.591,343.660
14,0,255,255,255,232.514,353.252
15,0,80,80,80,230.821,363.407
16,0,175,175,175,228.000,374.691
17,0,0,0,0,230.821,392.746
18,0,175,175,175,249.440,379.769
19,0,0,0,0,273.136,368.485
20,0,0,0,0,293.447,361.715
21,0,68,68,68,314.322,354.944
22,0,0,0,0,331.248,351.559
23,0,0,0,0,345.917,349.867
24,0,24,24,24,357.765,348.738
25,0,1,1,1,373.563,349.867
26,0,0,0,0,389.360,352.688
27,0,0,0,0,411.928,357.201
