 ,X,Y
1,644,568
2,642,553
3,641,542
4,640,533
5,640,525
6,638,514
7,638,501
8,638,490
9,640,482
10,641,472
11,642,465
12,641,452
13,646,441
14,646,434
15,649,428
16,652,416
17,656,408
18,661,397
19,664,386
20,668,378
21,672,370
22,677,353
23,681,349
24,686,340
25,689,329
26,693,324
27,678,320
28,666,314
29,654,310
30,642,310
31,633,304
32,624,301
33,612,294
34,600,292
35,589,289
36,577,284
37,568,278
38,558,274
39,544,266
40,529,258
41,520,246
42,505,240
43,500,240
44,488,232
45,480,228
46,472,222
47,462,217
48,454,216
49,445,214
50,437,214
51,426,218
52,418,220
53,410,224
54,402,228
55,393,229
56,385,234
57,378,238
58,372,241
59,362,245
60,356,248
61,348,254
62,338,257
63,333,264
64,324,268
65,318,274
66,314,281
67,305,284
68,298,292
69,289,298
70,285,306
71,278,314
72,273,325
73,266,329
74,260,336
75,258,340
76,253,346
77,245,358
78,242,365
79,241,368
80,234,374
81,230,386
82,225,393
83,224,402
84,216,412
85,213,421
86,210,432
87,204,436
88,204,449
89,202,458
90,198,466
91,198,474
92,198,481
93,196,490
94,196,500
95,196,506
96,194,516
97,193,522
98,193,529
99,193,534
100,193,546
101,204,542
102,214,541
103,225,540
104,237,538
105,253,537
106,264,537
107,270,537
108,284,537
109,298,537
110,314,537
111,326,534
112,338,534
113,352,534
114,373,534
115,390,534
116,408,536
117,420,540
118,434,540
119,454,540
120,473,545
121,486,545
122,498,545
123,516,549
124,528,552
125,542,557
126,556,557
127,569,557
128,586,558
129,601,568
130,612,568
131,622,568
132,630,573
133,637,573
