 ,Area,Mean,Min,Max,X,Y
1,0,150,150,150,315.451,142.806
2,0,0,0,0,305.859,138.857
3,0,255,255,255,298.525,137.164
4,0,0,0,0,292.319,133.779
5,0,255,255,255,284.420,131.522
6,0,0,0,0,275.957,127.009
7,0,32,32,32,266.365,124.188
8,0,255,255,255,257.902,119.674
9,0,255,255,255,251.132,116.853
10,0,0,0,0,244.362,112.340
11,0,255,255,255,237.027,107.826
12,0,0,0,0,230.821,102.184
13,0,255,255,255,226.307,100.491
14,0,0,0,0,219.537,96.542
15,0,255,255,255,213.331,93.157
16,0,0,0,0,207.125,91.464
17,0,0,0,0,203.175,89.207
18,0,255,255,255,197.533,89.772
19,0,255,255,255,188.506,92.593
20,0,255,255,255,183.428,95.414
21,0,255,255,255,176.094,98.235
22,0,127,127,127,168.759,103.312
23,0,112,112,112,163.117,106.133
24,0,255,255,255,156.911,110.647
25,0,207,207,207,149.577,115.160
26,0,232,232,232,144.499,119.674
27,0,255,255,255,135.472,127.009
28,0,0,0,0,130.394,133.215
29,0,255,255,255,124.752,138.293
30,0,254,254,254,119.674,143.370
31,0,255,255,255,115.160,147.884
32,0,166,166,166,109.519,154.654
33,0,229,229,229,106.133,161.989
34,0,229,229,229,99.363,173.837
35,0,202,202,202,95.978,184.557
36,0,229,229,229,92.593,195.841
37,0,229,229,229,89.772,204.304
38,0,134,134,134,89.207,212.767
39,0,0,0,0,89.207,221.230
40,0,229,229,229,89.207,231.385
41,0,229,229,229,90.900,244.362
42,0,213,213,213,92.028,254.517
43,0,213,213,213,93.721,262.980
44,0,229,229,229,95.414,275.393
45,0,229,229,229,99.927,285.548
46,0,242,242,242,106.133,297.396
47,0,32,32,32,110.647,306.988
48,0,255,255,255,114.596,313.758
49,0,0,0,0,119.110,321.657
50,0,227,227,227,127.573,322.785
51,0,255,255,255,141.678,325.606
52,0,255,255,255,152.398,328.991
53,0,255,255,255,164.810,332.941
54,0,191,191,191,179.479,339.147
55,0,159,159,159,191.327,344.789
56,0,223,223,223,202.047,350.431
57,0,32,32,32,211.074,358.894
58,0,255,255,255,217.844,367.357
59,0,171,171,171,224.051,375.256
60,0,166,166,166,226.307,390.489
61,0,0,0,0,228.564,380.898
62,0,255,255,255,229.693,369.614
63,0,80,80,80,230.821,363.407
64,0,239,239,239,233.642,354.944
65,0,0,0,0,236.463,347.046
66,0,127,127,127,240.412,339.711
67,0,255,255,255,245.490,333.505
68,0,0,0,0,251.696,326.735
69,0,255,255,255,258.467,319.964
70,0,191,191,191,265.801,314.322
71,0,255,255,255,273.136,308.680
72,0,255,255,255,278.214,303.038
73,0,255,255,255,283.291,299.089
74,0,255,255,255,287.805,293.447
75,0,0,0,0,292.319,286.112
76,0,255,255,255,295.139,279.906
77,0,16,16,16,297.396,271.443
78,0,255,255,255,300.217,264.109
79,0,127,127,127,301.346,253.953
80,0,255,255,255,301.910,245.490
81,0,15,15,15,302.474,236.463
82,0,86,86,86,302.474,226.307
83,0,255,255,255,302.474,217.280
84,0,255,255,255,302.474,209.381
85,0,255,255,255,303.038,199.790
86,0,223,223,223,304.167,192.456
87,0,255,255,255,304.167,184.557
88,0,255,255,255,305.295,174.965
89,0,255,255,255,305.859,167.067
90,0,255,255,255,307.552,159.168
91,0,255,255,255,310.373,151.833
