 ,X,Y
1,640,577
2,636,586
3,633,604
4,633,612
5,630,626
6,628,644
7,628,653
8,622,661
9,621,670
10,620,681
11,612,688
12,598,692
13,590,698
14,581,702
15,573,708
16,570,710
17,562,716
18,554,718
19,548,721
20,537,725
21,530,730
22,526,740
23,521,748
24,517,754
25,510,765
26,510,778
27,508,786
28,496,785
29,486,781
30,476,777
31,466,773
32,454,772
33,441,764
34,425,757
35,418,756
36,408,750
37,390,748
38,378,744
39,366,741
40,350,736
41,340,736
42,328,736
43,317,733
44,304,730
45,296,729
46,286,726
47,276,724
48,272,724
49,266,724
50,253,708
51,245,700
52,241,690
53,236,681
54,233,677
55,232,670
56,225,664
57,221,652
58,214,642
59,208,628
60,205,612
61,202,604
62,200,592
63,198,581
64,198,574
65,198,569
66,196,562
67,194,557
68,194,553
69,202,549
70,212,546
71,222,544
72,233,544
73,244,542
74,254,542
75,261,542
76,270,540
77,280,540
78,288,538
79,298,538
80,306,538
81,314,538
82,322,538
83,330,538
84,340,538
85,349,538
86,361,538
87,374,538
88,386,538
89,409,538
90,425,538
91,440,540
92,449,540
93,465,542
94,477,548
95,490,548
96,505,548
97,516,550
98,524,552
99,536,552
100,542,552
101,556,557
102,568,557
103,580,560
104,593,562
105,609,565
106,624,566
107,637,572
