 ,Area,Mean,Min,Max,X,Y
1,0,241,241,241,204.304,266.365
2,0,231,231,231,195.277,268.058
3,0,255,255,255,182.3,269.751
4,0,255,255,255,173.273,272.572
5,0,255,255,255,163.681,275.393
6,0,255,255,255,156.911,278.214
7,0,255,255,255,149.577,280.47
8,0,254,254,254,142.806,286.112
9,0,255,255,255,135.472,290.626
10,0,255,255,255,130.394,296.832
11,0,249,249,249,132.086,304.167
12,0,229,229,229,144.499,309.244
13,0,229,229,229,158.04,310.937
14,0,229,229,229,172.709,311.501
15,0,238,238,238,182.864,311.501
16,0,249,249,249,194.148,310.937
17,0,250,250,250,207.125,308.116
