 ,Area,Mean,Min,Max,X,Y
16,0,243,243,243,201.483,203.175
17,0,249,249,249,214.459,207.125
18,0,238,238,238,220.665,208.253
19,0,236,236,236,230.821,210.51
20,0,229,229,229,242.669,211.638
21,0,229,229,229,251.696,212.202
22,0,229,229,229,262.98,212.767
23,0,229,229,229,270.315,210.51
24,0,229,229,229,275.957,205.432
25,0,229,229,229,276.521,199.226
26,0,229,229,229,271.443,193.02
27,0,242,242,242,263.544,186.814
28,0,246,246,246,255.646,181.736
29,0,255,255,255,248.875,177.786
30,0,252,252,252,239.848,173.273
31,0,241,241,241,233.078,171.016
32,0,255,255,255,217.179,167.067
