 ,X,Y
1,476,102
2,460,105
3,448,106
4,436,108
5,420,109
6,405,112
7,389,113
8,380,114
9,368,120
10,356,121
11,345,125
12,334,128
13,325,130
14,314,130
15,300,138
16,290,142
17,281,144
18,266,148
19,256,154
20,244,161
21,234,164
22,228,169
23,217,173
24,209,176
25,202,180
26,190,186
27,178,193
28,170,200
29,158,209
30,149,218
31,137,228
32,124,236
33,116,242
34,108,252
35,98,262
36,92,272
37,84,280
38,77,285
39,70,292
40,65,300
41,60,308
42,57,318
43,50,324
44,46,334
45,38,344
46,36,353
47,32,362
48,24,373
49,22,384
50,18,393
51,14,400
52,13,410
53,10,418
54,10,428
55,8,437
56,4,460
57,4,469
58,2,484
59,4,505
60,4,526
61,6,537
62,8,546
63,8,556
64,9,560
65,13,570
66,18,585
67,20,597
68,24,604
69,28,612
70,33,622
71,40,638
72,45,646
73,52,656
74,56,665
75,62,672
76,68,677
77,74,690
78,81,701
79,90,708
80,96,714
81,100,722
82,105,726
83,113,730
84,117,734
85,124,742
86,128,745
87,136,752
88,144,760
89,152,766
90,161,770
91,170,781
92,176,782
93,181,785
94,196,772
95,204,753
96,214,738
97,224,729
98,232,725
99,244,720
100,258,718
101,252,704
102,242,689
103,236,678
104,228,666
105,222,658
106,217,642
107,210,633
108,209,622
109,205,613
110,205,606
111,204,597
112,200,588
113,198,580
114,196,568
115,196,557
116,193,548
117,193,536
118,193,524
119,194,509
120,194,498
121,194,489
122,196,478
123,198,461
124,201,453
125,202,445
126,206,436
127,210,426
128,214,416
129,220,405
130,224,388
131,230,381
132,233,378
133,240,364
134,242,354
135,249,350
136,253,341
137,261,334
138,269,320
139,281,309
140,292,297
141,298,293
142,309,284
143,317,278
144,329,265
145,338,258
146,348,254
147,360,246
148,373,236
149,385,229
150,401,225
151,413,221
152,418,216
153,432,206
154,437,202
