 ,X,Y
1,500,876
2,477,878
3,456,877
4,433,876
5,417,873
6,397,870
7,382,866
8,360,861
9,346,861
10,325,853
11,310,850
12,296,845
13,278,840
14,266,834
15,252,826
16,238,821
17,224,816
18,212,806
19,201,801
20,192,796
21,186,790
22,193,778
23,200,769
24,206,758
25,210,746
26,220,736
27,234,729
28,245,725
29,258,720
30,272,722
31,288,725
32,298,728
33,308,729
34,317,732
35,332,733
36,342,736
37,356,738
38,369,740
39,382,742
40,397,748
41,405,752
42,417,756
43,428,760
44,437,762
45,449,765
46,461,769
47,478,776
48,497,785
49,505,789
50,505,809
51,501,824
52,501,845
53,498,860
