SRR489478	Stage44-45
SRR489477	Stage41-42
SRR489476	Stage40
SRR489475	Stage38-39
SRR489474	Stage33-34
SRR489473	Stage31-32
SRR489472	Stage28
SRR489471	Stage24-26
SRR489470	Stage24-26
SRR489469	Stage22-23
SRR489468	Stage20-21
SRR489467	Stage19
SRR489466	Stage16-18
SRR489465	Stage13-14
SRR489464	Stage13-14
SRR489463	Stage11-12
SRR489462	Stage10
SRR489461	Stage9
SRR489460	Stage8
SRR489459	Stage6
SRR489458	16cell
SRR489457	8cell
SRR489456	4cell
SRR489455	2cell
SRR489454	Stage41-42
SRR489453	Stage40
SRR489452	Stage33-34
SRR489451	Stage31-32
SRR489450	Stage28
SRR489449	Stage24-26
SRR489448	Stage22-23
SRR489447	Stage20-21
SRR489446	Stage19
SRR489445	Stage19
SRR489444	Stage16-18
SRR489443	Stage15
SRR489442	Stage11-12
SRR489441	Stage11-12
SRR489440	Stage10
SRR489439	Stage9
